batter,season,runs,balls_faced,dots,fours,sixes,singles,outs,strike_rate,average
A Ashish Reddy,2012,35,30,11,3,1,9,4,116.66666666666667,8.75
A Ashish Reddy,2013,125,90,24,8,5,42,6,138.88888888888889,20.833333333333332
A Ashish Reddy,2015,73,46,12,3,5,19,3,158.69565217391303,24.333333333333332
A Ashish Reddy,2016,47,30,9,2,4,13,2,156.66666666666666,23.5
A Badoni,2022,161,139,47,11,7,53,9,115.8273381294964,17.88888888888889
A Badoni,2023,238,186,52,13,12,71,9,127.95698924731182,26.444444444444443
A Badoni,2024,235,180,45,22,5,77,8,130.55555555555557,29.375
A Badoni,2025,329,235,64,27,14,96,10,140.0,32.9
A Badoni,2026,215,145,48,23,9,50,10,148.27586206896552,21.5
A Chandila,2012,0,1,1,0,0,0,1,0.0,0.0
A Chandila,2013,4,6,2,0,0,4,0,66.66666666666666,inf
A Chopra,2007/08,42,55,27,5,0,18,4,76.36363636363637,10.5
A Chopra,2009,11,20,13,2,0,3,1,55.00000000000001,11.0
A Choudhary,2017,25,20,4,1,1,13,2,125.0,12.5
A Dananjaya,2018,4,5,2,0,0,2,0,80.0,inf
A Flintoff,2009,62,57,17,5,2,23,2,108.77192982456141,31.0
A Kamboj,2024,2,2,0,0,0,2,0,100.0,inf
A Kamboj,2025,14,13,6,2,0,2,2,107.6923076923077,7.0
A Kamboj,2026,58,40,6,3,4,20,1,145.0,58.0
A Kumble,2007/08,13,17,7,1,0,7,1,76.47058823529412,13.0
A Kumble,2009,16,20,9,2,0,8,1,80.0,16.0
A Kumble,2009/10,6,12,4,0,0,6,0,50.0,inf
A Manohar,2022,108,79,26,14,3,30,6,136.70886075949366,18.0
A Manohar,2023,114,86,25,6,7,42,6,132.5581395348837,19.0
A Manohar,2024,9,16,11,1,0,3,2,56.25,4.5
A Manohar,2025,61,62,28,2,4,23,5,98.38709677419355,12.2
A Mhatre,2025,240,131,41,31,11,38,7,183.206106870229,34.285714285714285
A Mhatre,2026,201,119,38,20,12,38,5,168.9075630252101,40.2
A Mishra,2007/08,37,42,16,3,0,21,4,88.09523809523809,9.25
A Mishra,2009,26,20,10,2,2,4,2,130.0,13.0
A Mishra,2009/10,39,54,15,1,0,31,4,72.22222222222221,9.75
A Mishra,2011,68,52,14,9,1,20,6,130.76923076923077,11.333333333333334
A Mishra,2012,16,21,8,1,0,10,3,76.19047619047619,5.333333333333333
A Mishra,2013,89,103,40,9,0,39,3,86.40776699029125,29.666666666666668
A Mishra,2014,4,7,2,0,0,4,1,57.14285714285714,4.0
A Mishra,2015,8,13,5,0,0,6,2,61.53846153846154,4.0
A Mishra,2016,4,14,10,0,0,4,2,28.57142857142857,2.0
A Mishra,2017,49,56,20,2,2,23,1,87.5,49.0
A Mishra,2018,1,2,1,0,0,1,0,50.0,inf
A Mishra,2019,21,26,10,2,0,9,2,80.76923076923077,10.5
A Mishra,2023,19,30,17,2,0,11,1,63.33333333333333,19.0
A Mithun,2009/10,5,4,2,1,0,1,1,125.0,5.0
