match_id,inning,batting_team,score,wickets,fours,sixes,extras,dot_balls
335982,1,Kolkata Knight Riders,205,3,15,14,17,36
335982,2,Royal Challengers Bengaluru,63,10,3,3,19,50
335983,1,Chennai Super Kings,234,5,20,16,6,34
335983,2,Punjab Kings,196,4,18,9,11,23
335984,1,Rajasthan Royals,122,8,14,3,7,54
335984,2,Delhi Capitals,122,1,18,1,10,31
335985,1,Mumbai Indians,154,7,18,5,11,45
335985,2,Royal Challengers Bengaluru,161,5,15,6,5,36
335986,1,Deccan Chargers,100,10,6,6,10,62
335986,2,Kolkata Knight Riders,84,5,5,4,28,61
335987,1,Punjab Kings,162,8,18,7,4,54
335987,2,Rajasthan Royals,156,4,17,7,12,47
335988,1,Deccan Chargers,137,8,12,6,5,56
335988,2,Delhi Capitals,131,1,15,6,12,26
335989,1,Chennai Super Kings,190,5,24,6,18,37
335989,2,Mumbai Indians,189,7,19,8,13,38
335990,1,Deccan Chargers,208,5,24,9,6,37
335990,2,Rajasthan Royals,210,7,18,14,7,34
335991,1,Punjab Kings,175,10,18,5,7,40
335991,2,Mumbai Indians,109,9,12,4,7,69
335992,1,Royal Challengers Bengaluru,129,8,12,7,6,64
335992,2,Rajasthan Royals,135,3,22,2,3,44
335993,1,Kolkata Knight Riders,139,9,14,4,8,49
335993,2,Chennai Super Kings,134,1,12,5,18,34
335994,1,Mumbai Indians,143,7,14,5,11,49
335994,2,Deccan Chargers,146,0,13,11,9,21
335995,1,Delhi Capitals,147,8,18,2,11,39
335995,2,Punjab Kings,153,6,19,3,9,46
335996,1,Chennai Super Kings,174,5,17,8,4,43
335996,2,Royal Challengers Bengaluru,158,10,14,5,7,35
335997,1,Kolkata Knight Riders,124,8,15,3,13,53
335997,2,Mumbai Indians,123,3,17,2,15,52
335998,1,Delhi Capitals,187,5,21,5,4,31
335998,2,Royal Challengers Bengaluru,169,5,16,7,12,32
335999,1,Deccan Chargers,160,8,19,3,4,40
335999,2,Punjab Kings,161,3,21,2,6,32
336000,1,Rajasthan Royals,182,7,22,5,14,37
336000,2,Kolkata Knight Riders,139,10,8,6,12,36
336001,1,Chennai Super Kings,162,6,17,5,7,44
336001,2,Delhi Capitals,166,2,16,5,6,36
336002,1,Deccan Chargers,152,10,15,7,13,51
336002,2,Royal Challengers Bengaluru,168,5,19,7,3,38
336003,1,Punjab Kings,164,6,22,4,14,42
336003,2,Kolkata Knight Riders,162,6,9,9,7,46
336004,1,Mumbai Indians,152,8,14,8,10,50
336004,2,Delhi Capitals,129,10,9,5,4,43
336005,1,Chennai Super Kings,102,10,12,1,7,61
336005,2,Rajasthan Royals,89,2,10,2,21,39
336006,1,Royal Challengers Bengaluru,116,10,16,1,10,58
336006,2,Punjab Kings,110,4,12,3,17,51
336007,1,Chennai Super Kings,134,7,12,5,10,53
336007,2,Deccan Chargers,143,3,15,7,5,50
336008,1,Rajasthan Royals,96,10,9,2,7,43
336008,2,Mumbai Indians,92,3,7,3,12,44
336009,1,Delhi Capitals,175,5,22,3,12,26
336009,2,Chennai Super Kings,177,6,20,5,11,33
336010,1,Kolkata Knight Riders,124,7,12,5,5,40
336010,2,Royal Challengers Bengaluru,118,4,15,2,6,36
336011,1,Deccan Chargers,134,8,15,3,6,47
336011,2,Rajasthan Royals,130,2,16,2,11,33
336012,1,Royal Challengers Bengaluru,111,9,11,2,11,49
336012,2,Mumbai Indians,113,1,10,6,13,43
336013,1,Chennai Super Kings,166,4,14,7,15,40
336013,2,Punjab Kings,160,9,8,10,3,46
336014,1,Kolkata Knight Riders,199,4,22,9,5,42
336014,2,Deccan Chargers,165,7,16,8,16,48
336015,1,Delhi Capitals,145,7,10,5,11,41
336015,2,Rajasthan Royals,142,7,13,6,17,47
336016,1,Royal Challengers Bengaluru,128,8,13,2,15,42
336016,2,Punjab Kings,135,1,12,7,9,32
336017,1,Kolkata Knight Riders,122,6,10,3,11,43
336017,2,Delhi Capitals,102,10,13,0,8,46
336018,1,Chennai Super Kings,144,6,21,3,12,56
336018,2,Mumbai Indians,142,1,12,12,16,37
336019,1,Punjab Kings,216,3,20,14,5,41
336019,2,Rajasthan Royals,176,7,18,8,4,43
336020,1,Delhi Capitals,186,4,18,6,8,31
336020,2,Deccan Chargers,179,9,15,9,3,39
336021,1,Kolkata Knight Riders,59,10,7,1,8,59
336021,2,Mumbai Indians,58,2,8,3,10,14
336022,1,Delhi Capitals,108,4,10,6,10,24
336022,2,Punjab Kings,90,3,4,8,4,11
336023,1,Rajasthan Royals,171,1,21,3,26,34
336023,2,Royal Challengers Bengaluru,126,9,10,6,6,59
336024,1,Mumbai Indians,158,7,17,6,20,43
336024,2,Deccan Chargers,145,7,13,6,8,47
336025,1,Kolkata Knight Riders,136,5,15,3,13,45
336025,2,Chennai Super Kings,51,0,8,0,4,21
336026,1,Royal Challengers Bengaluru,145,7,14,6,9,53
336026,2,Delhi Capitals,146,5,19,3,12,37
336027,1,Kolkata Knight Riders,142,8,13,6,5,51
336027,2,Rajasthan Royals,143,4,17,5,7,38
336028,1,Punjab Kings,177,4,18,8,12,42
336028,2,Mumbai Indians,165,10,17,6,23,41
336029,1,Royal Challengers Bengaluru,122,8,14,1,4,51
336029,2,Chennai Super Kings,100,8,10,2,12,67
336031,1,Deccan Chargers,170,4,14,9,5,44
336031,2,Punjab Kings,170,4,13,8,8,32
336032,1,Mumbai Indians,167,8,18,7,9,45
336032,2,Delhi Capitals,176,5,20,6,3,39
336033,1,Rajasthan Royals,204,5,20,9,7,30
336033,2,Chennai Super Kings,192,7,19,9,9,35
336034,1,Royal Challengers Bengaluru,151,8,15,4,5,34
336034,2,Deccan Chargers,147,6,15,5,6,40
336035,1,Punjab Kings,163,6,17,5,11,42
336035,2,Kolkata Knight Riders,166,7,17,9,9,50
