match_id,season,match_number,date,city,venue,team1,team2,team_batting_first,team_batting_second,toss_winner,toss_decision,winner,result_type,result_margin,win_by_runs,win_by_wickets,player_of_match,match_type,overs,balls_per_over
1082591,2017,,2017-04-05,Hyderabad,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,Royal Challengers Bangalore,Sunrisers Hyderabad,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Sunrisers Hyderabad,Runs,35.0,35,0,Yuvraj Singh,T20,20,6
1082592,2017,,2017-04-06,Pune,Maharashtra Cricket Association Stadium,Rising Pune Supergiant,Mumbai Indians,Mumbai Indians,Rising Pune Supergiant,Rising Pune Supergiant,field,Rising Pune Supergiant,Wickets,7.0,0,7,SPD Smith,T20,20,6
1082593,2017,,2017-04-07,Rajkot,Saurashtra Cricket Association Stadium,Gujarat Lions,Kolkata Knight Riders,Gujarat Lions,Kolkata Knight Riders,Kolkata Knight Riders,field,Kolkata Knight Riders,Wickets,10.0,0,10,CA Lynn,T20,20,6
1082594,2017,,2017-04-08,Indore,Holkar Cricket Stadium,Kings XI Punjab,Rising Pune Supergiant,Rising Pune Supergiant,Kings XI Punjab,Kings XI Punjab,field,Kings XI Punjab,Wickets,6.0,0,6,GJ Maxwell,T20,20,6
1082595,2017,,2017-04-08,Bengaluru,M.Chinnaswamy Stadium,Royal Challengers Bangalore,Delhi Daredevils,Royal Challengers Bangalore,Delhi Daredevils,Royal Challengers Bangalore,bat,Royal Challengers Bangalore,Runs,15.0,15,0,KM Jadhav,T20,20,6
1082596,2017,,2017-04-09,Hyderabad,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,Gujarat Lions,Gujarat Lions,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Sunrisers Hyderabad,Wickets,9.0,0,9,Rashid Khan,T20,20,6
1082597,2017,,2017-04-09,Mumbai,Wankhede Stadium,Mumbai Indians,Kolkata Knight Riders,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,field,Mumbai Indians,Wickets,4.0,0,4,N Rana,T20,20,6
1082598,2017,,2017-04-10,Indore,Holkar Cricket Stadium,Kings XI Punjab,Royal Challengers Bangalore,Royal Challengers Bangalore,Kings XI Punjab,Royal Challengers Bangalore,bat,Kings XI Punjab,Wickets,8.0,0,8,AR Patel,T20,20,6
1082599,2017,,2017-04-11,Pune,Maharashtra Cricket Association Stadium,Rising Pune Supergiant,Delhi Daredevils,Delhi Daredevils,Rising Pune Supergiant,Rising Pune Supergiant,field,Delhi Daredevils,Runs,97.0,97,0,SV Samson,T20,20,6
1082600,2017,,2017-04-12,Mumbai,Wankhede Stadium,Mumbai Indians,Sunrisers Hyderabad,Sunrisers Hyderabad,Mumbai Indians,Mumbai Indians,field,Mumbai Indians,Wickets,4.0,0,4,JJ Bumrah,T20,20,6
1082601,2017,,2017-04-13,Kolkata,Eden Gardens,Kolkata Knight Riders,Kings XI Punjab,Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,field,Kolkata Knight Riders,Wickets,8.0,0,8,SP Narine,T20,20,6
1082602,2017,,2017-04-14,Bangalore,M Chinnaswamy Stadium,Royal Challengers Bangalore,Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,field,Mumbai Indians,Wickets,4.0,0,4,KA Pollard,T20,20,6
1082603,2017,,2017-04-14,Rajkot,Saurashtra Cricket Association Stadium,Gujarat Lions,Rising Pune Supergiant,Rising Pune Supergiant,Gujarat Lions,Gujarat Lions,field,Gujarat Lions,Wickets,7.0,0,7,AJ Tye,T20,20,6
1082604,2017,,2017-04-15,Kolkata,Eden Gardens,Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Kolkata Knight Riders,Runs,17.0,17,0,RV Uthappa,T20,20,6
1082605,2017,,2017-04-15,Delhi,Feroz Shah Kotla,Delhi Daredevils,Kings XI Punjab,Delhi Daredevils,Kings XI Punjab,Delhi Daredevils,bat,Delhi Daredevils,Runs,51.0,51,0,CJ Anderson,T20,20,6
1082606,2017,,2017-04-16,Mumbai,Wankhede Stadium,Mumbai Indians,Gujarat Lions,Gujarat Lions,Mumbai Indians,Mumbai Indians,field,Mumbai Indians,Wickets,6.0,0,6,N Rana,T20,20,6
1082607,2017,,2017-04-16,Bangalore,M Chinnaswamy Stadium,Royal Challengers Bangalore,Rising Pune Supergiant,Rising Pune Supergiant,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Rising Pune Supergiant,Runs,27.0,27,0,BA Stokes,T20,20,6
1082608,2017,,2017-04-17,Delhi,Feroz Shah Kotla,Delhi Daredevils,Kolkata Knight Riders,Delhi Daredevils,Kolkata Knight Riders,Delhi Daredevils,bat,Kolkata Knight Riders,Wickets,4.0,0,4,NM Coulter-Nile,T20,20,6
1082609,2017,,2017-04-17,Hyderabad,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,Kings XI Punjab,Sunrisers Hyderabad,Kings XI Punjab,Kings XI Punjab,field,Sunrisers Hyderabad,Runs,5.0,5,0,B Kumar,T20,20,6
1082610,2017,,2017-04-18,Rajkot,Saurashtra Cricket Association Stadium,Gujarat Lions,Royal Challengers Bangalore,Royal Challengers Bangalore,Gujarat Lions,Gujarat Lions,field,Royal Challengers Bangalore,Runs,21.0,21,0,CH Gayle,T20,20,6
1082611,2017,,2017-04-19,Hyderabad,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,Delhi Daredevils,Sunrisers Hyderabad,Delhi Daredevils,Sunrisers Hyderabad,bat,Sunrisers Hyderabad,Runs,15.0,15,0,KS Williamson,T20,20,6
1082612,2017,,2017-04-20,Indore,Holkar Cricket Stadium,Kings XI Punjab,Mumbai Indians,Kings XI Punjab,Mumbai Indians,Mumbai Indians,field,Mumbai Indians,Wickets,8.0,0,8,JC Buttler,T20,20,6
1082613,2017,,2017-04-21,Kolkata,Eden Gardens,Kolkata Knight Riders,Gujarat Lions,Kolkata Knight Riders,Gujarat Lions,Gujarat Lions,field,Gujarat Lions,Wickets,4.0,0,4,SK Raina,T20,20,6
1082614,2017,,2017-04-22,Mumbai,Wankhede Stadium,Mumbai Indians,Delhi Daredevils,Mumbai Indians,Delhi Daredevils,Delhi Daredevils,field,Mumbai Indians,Runs,14.0,14,0,MJ McClenaghan,T20,20,6
1082615,2017,,2017-04-22,Pune,Maharashtra Cricket Association Stadium,Rising Pune Supergiant,Sunrisers Hyderabad,Sunrisers Hyderabad,Rising Pune Supergiant,Rising Pune Supergiant,field,Rising Pune Supergiant,Wickets,6.0,0,6,MS Dhoni,T20,20,6
1082616,2017,,2017-04-23,Rajkot,Saurashtra Cricket Association Stadium,Gujarat Lions,Kings XI Punjab,Kings XI Punjab,Gujarat Lions,Gujarat Lions,field,Kings XI Punjab,Runs,26.0,26,0,HM Amla,T20,20,6
1082617,2017,,2017-04-23,Kolkata,Eden Gardens,Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Kolkata Knight Riders,Runs,82.0,82,0,NM Coulter-Nile,T20,20,6
1082618,2017,,2017-04-24,Mumbai,Wankhede Stadium,Mumbai Indians,Rising Pune Supergiant,Rising Pune Supergiant,Mumbai Indians,Mumbai Indians,field,Rising Pune Supergiant,Runs,3.0,3,0,BA Stokes,T20,20,6
1082620,2017,,2017-04-26,Pune,Maharashtra Cricket Association Stadium,Rising Pune Supergiant,Kolkata Knight Riders,Rising Pune Supergiant,Kolkata Knight Riders,Kolkata Knight Riders,field,Kolkata Knight Riders,Wickets,7.0,0,7,RV Uthappa,T20,20,6
1082621,2017,,2017-04-27,Bangalore,M Chinnaswamy Stadium,Royal Challengers Bangalore,Gujarat Lions,Royal Challengers Bangalore,Gujarat Lions,Gujarat Lions,field,Gujarat Lions,Wickets,7.0,0,7,AJ Tye,T20,20,6
1082622,2017,,2017-04-28,Kolkata,Eden Gardens,Kolkata Knight Riders,Delhi Daredevils,Delhi Daredevils,Kolkata Knight Riders,Kolkata Knight Riders,field,Kolkata Knight Riders,Wickets,7.0,0,7,G Gambhir,T20,20,6
1082623,2017,,2017-04-28,Chandigarh,"Punjab Cricket Association IS Bindra Stadium, Mohali",Kings XI Punjab,Sunrisers Hyderabad,Sunrisers Hyderabad,Kings XI Punjab,Kings XI Punjab,field,Sunrisers Hyderabad,Runs,26.0,26,0,Rashid Khan,T20,20,6
1082624,2017,,2017-04-29,Pune,Maharashtra Cricket Association Stadium,Rising Pune Supergiant,Royal Challengers Bangalore,Rising Pune Supergiant,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Rising Pune Supergiant,Runs,61.0,61,0,LH Ferguson,T20,20,6
1082625,2017,,2017-04-29,Rajkot,Saurashtra Cricket Association Stadium,Gujarat Lions,Mumbai Indians,Gujarat Lions,Mumbai Indians,Gujarat Lions,bat,,tie,,0,0,KH Pandya,T20,20,6
1082626,2017,,2017-04-30,Chandigarh,"Punjab Cricket Association IS Bindra Stadium, Mohali",Kings XI Punjab,Delhi Daredevils,Delhi Daredevils,Kings XI Punjab,Kings XI Punjab,field,Kings XI Punjab,Wickets,10.0,0,10,Sandeep Sharma,T20,20,6
1082627,2017,,2017-04-30,Hyderabad,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders,field,Sunrisers Hyderabad,Runs,48.0,48,0,DA Warner,T20,20,6
1082628,2017,,2017-05-01,Mumbai,Wankhede Stadium,Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore,Mumbai Indians,Royal Challengers Bangalore,bat,Mumbai Indians,Wickets,5.0,0,5,RG Sharma,T20,20,6
1082629,2017,,2017-05-01,Pune,Maharashtra Cricket Association Stadium,Rising Pune Supergiant,Gujarat Lions,Gujarat Lions,Rising Pune Supergiant,Rising Pune Supergiant,field,Rising Pune Supergiant,Wickets,5.0,0,5,BA Stokes,T20,20,6
1082630,2017,,2017-05-02,Delhi,Feroz Shah Kotla,Delhi Daredevils,Sunrisers Hyderabad,Sunrisers Hyderabad,Delhi Daredevils,Delhi Daredevils,field,Delhi Daredevils,Wickets,6.0,0,6,Mohammed Shami,T20,20,6
1082631,2017,,2017-05-03,Kolkata,Eden Gardens,Kolkata Knight Riders,Rising Pune Supergiant,Kolkata Knight Riders,Rising Pune Supergiant,Rising Pune Supergiant,field,Rising Pune Supergiant,Wickets,4.0,0,4,RA Tripathi,T20,20,6
1082632,2017,,2017-05-04,Delhi,Feroz Shah Kotla,Delhi Daredevils,Gujarat Lions,Gujarat Lions,Delhi Daredevils,Delhi Daredevils,field,Delhi Daredevils,Wickets,7.0,0,7,RR Pant,T20,20,6
1082633,2017,,2017-05-05,Bangalore,M Chinnaswamy Stadium,Royal Challengers Bangalore,Kings XI Punjab,Kings XI Punjab,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Kings XI Punjab,Runs,19.0,19,0,Sandeep Sharma,T20,20,6
1082634,2017,,2017-05-06,Hyderabad,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,Rising Pune Supergiant,Rising Pune Supergiant,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Rising Pune Supergiant,Runs,12.0,12,0,JD Unadkat,T20,20,6
1082635,2017,,2017-05-06,Delhi,Feroz Shah Kotla,Delhi Daredevils,Mumbai Indians,Mumbai Indians,Delhi Daredevils,Delhi Daredevils,field,Mumbai Indians,Runs,146.0,146,0,LMP Simmons,T20,20,6
1082636,2017,,2017-05-07,Bangalore,M Chinnaswamy Stadium,Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders,field,Kolkata Knight Riders,Wickets,6.0,0,6,SP Narine,T20,20,6
1082637,2017,,2017-05-07,Chandigarh,"Punjab Cricket Association IS Bindra Stadium, Mohali",Kings XI Punjab,Gujarat Lions,Kings XI Punjab,Gujarat Lions,Gujarat Lions,field,Gujarat Lions,Wickets,6.0,0,6,DR Smith,T20,20,6
1082638,2017,,2017-05-08,Hyderabad,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,Mumbai Indians,Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,bat,Sunrisers Hyderabad,Wickets,7.0,0,7,S Dhawan,T20,20,6
1082639,2017,,2017-05-09,Chandigarh,"Punjab Cricket Association IS Bindra Stadium, Mohali",Kings XI Punjab,Kolkata Knight Riders,Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,field,Kings XI Punjab,Runs,14.0,14,0,MM Sharma,T20,20,6
1082640,2017,,2017-05-10,Kanpur,Green Park,Gujarat Lions,Delhi Daredevils,Gujarat Lions,Delhi Daredevils,Delhi Daredevils,field,Delhi Daredevils,Wickets,2.0,0,2,SS Iyer,T20,20,6
1082641,2017,,2017-05-11,Mumbai,Wankhede Stadium,Mumbai Indians,Kings XI Punjab,Kings XI Punjab,Mumbai Indians,Mumbai Indians,field,Kings XI Punjab,Runs,7.0,7,0,WP Saha,T20,20,6
1082642,2017,,2017-05-12,Delhi,Feroz Shah Kotla,Delhi Daredevils,Rising Pune Supergiant,Delhi Daredevils,Rising Pune Supergiant,Delhi Daredevils,bat,Delhi Daredevils,Runs,7.0,7,0,KK Nair,T20,20,6
1082643,2017,,2017-05-13,Kanpur,Green Park,Gujarat Lions,Sunrisers Hyderabad,Gujarat Lions,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Sunrisers Hyderabad,Wickets,8.0,0,8,Mohammed Siraj,T20,20,6
1082644,2017,,2017-05-13,Kolkata,Eden Gardens,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,Kolkata Knight Riders,Kolkata Knight Riders,field,Mumbai Indians,Runs,9.0,9,0,AT Rayudu,T20,20,6
1082645,2017,,2017-05-14,Pune,Maharashtra Cricket Association Stadium,Rising Pune Supergiant,Kings XI Punjab,Kings XI Punjab,Rising Pune Supergiant,Rising Pune Supergiant,field,Rising Pune Supergiant,Wickets,9.0,0,9,JD Unadkat,T20,20,6
1082646,2017,,2017-05-14,Delhi,Feroz Shah Kotla,Delhi Daredevils,Royal Challengers Bangalore,Royal Challengers Bangalore,Delhi Daredevils,Royal Challengers Bangalore,bat,Royal Challengers Bangalore,Runs,10.0,10,0,HV Patel,T20,20,6
1082647,2017,,2017-05-16,Mumbai,Wankhede Stadium,Mumbai Indians,Rising Pune Supergiant,Rising Pune Supergiant,Mumbai Indians,Mumbai Indians,field,Rising Pune Supergiant,Runs,20.0,20,0,Washington Sundar,T20,20,6
1082648,2017,,2017-05-17,Bangalore,M Chinnaswamy Stadium,Sunrisers Hyderabad,Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders,field,Kolkata Knight Riders,Wickets,7.0,0,7,NM Coulter-Nile,T20,20,6
1082649,2017,,2017-05-19,Bangalore,M Chinnaswamy Stadium,Mumbai Indians,Kolkata Knight Riders,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,field,Mumbai Indians,Wickets,6.0,0,6,KV Sharma,T20,20,6
1082650,2017,,2017-05-21,Hyderabad,"Rajiv Gandhi International Stadium, Uppal",Mumbai Indians,Rising Pune Supergiant,Mumbai Indians,Rising Pune Supergiant,Mumbai Indians,bat,Mumbai Indians,Runs,1.0,1,0,KH Pandya,T20,20,6
1136561,2018,,2018-04-07,Mumbai,Wankhede Stadium,Mumbai Indians,Chennai Super Kings,Mumbai Indians,Chennai Super Kings,Chennai Super Kings,field,Chennai Super Kings,Wickets,1.0,0,1,DJ Bravo,T20,20,6
1136562,2018,,2018-04-08,Chandigarh,Punjab Cricket Association IS Bindra Stadium,Delhi Daredevils,Kings XI Punjab,Delhi Daredevils,Kings XI Punjab,Kings XI Punjab,field,Kings XI Punjab,Wickets,6.0,0,6,KL Rahul,T20,20,6
1136563,2018,,2018-04-08,Kolkata,Eden Gardens,Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders,field,Kolkata Knight Riders,Wickets,4.0,0,4,SP Narine,T20,20,6
1136564,2018,,2018-04-09,Hyderabad,Rajiv Gandhi International Stadium,Rajasthan Royals,Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Sunrisers Hyderabad,Wickets,9.0,0,9,S Dhawan,T20,20,6
1136565,2018,,2018-04-10,Chennai,MA Chidambaram Stadium,Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings,field,Chennai Super Kings,Wickets,5.0,0,5,SW Billings,T20,20,6
1136566,2018,,2018-04-11,Jaipur,Sawai Mansingh Stadium,Rajasthan Royals,Delhi Daredevils,Rajasthan Royals,Delhi Daredevils,Delhi Daredevils,field,Rajasthan Royals,Runs,10.0,10,0,SV Samson,T20,20,6
1136567,2018,,2018-04-12,Hyderabad,Rajiv Gandhi International Stadium,Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Sunrisers Hyderabad,Wickets,1.0,0,1,Rashid Khan,T20,20,6
1136568,2018,,2018-04-13,Bengaluru,M.Chinnaswamy Stadium,Kings XI Punjab,Royal Challengers Bangalore,Kings XI Punjab,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Royal Challengers Bangalore,Wickets,4.0,0,4,UT Yadav,T20,20,6
1136569,2018,,2018-04-14,Mumbai,Wankhede Stadium,Mumbai Indians,Delhi Daredevils,Mumbai Indians,Delhi Daredevils,Delhi Daredevils,field,Delhi Daredevils,Wickets,7.0,0,7,JJ Roy,T20,20,6
1136570,2018,,2018-04-14,Kolkata,Eden Gardens,Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Sunrisers Hyderabad,Wickets,5.0,0,5,B Stanlake,T20,20,6
1136571,2018,,2018-04-15,Bengaluru,M.Chinnaswamy Stadium,Rajasthan Royals,Royal Challengers Bangalore,Rajasthan Royals,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Rajasthan Royals,Runs,19.0,19,0,SV Samson,T20,20,6
1136572,2018,,2018-04-15,Chandigarh,Punjab Cricket Association IS Bindra Stadium,Kings XI Punjab,Chennai Super Kings,Kings XI Punjab,Chennai Super Kings,Chennai Super Kings,field,Kings XI Punjab,Runs,4.0,4,0,CH Gayle,T20,20,6
1136573,2018,,2018-04-16,Kolkata,Eden Gardens,Kolkata Knight Riders,Delhi Daredevils,Kolkata Knight Riders,Delhi Daredevils,Delhi Daredevils,field,Kolkata Knight Riders,Runs,71.0,71,0,N Rana,T20,20,6
1136574,2018,,2018-04-17,Mumbai,Wankhede Stadium,Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Mumbai Indians,Runs,46.0,46,0,RG Sharma,T20,20,6
1136575,2018,,2018-04-18,Jaipur,Sawai Mansingh Stadium,Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,field,Kolkata Knight Riders,Wickets,7.0,0,7,N Rana,T20,20,6
1136576,2018,,2018-04-19,Chandigarh,Punjab Cricket Association IS Bindra Stadium,Kings XI Punjab,Sunrisers Hyderabad,Kings XI Punjab,Sunrisers Hyderabad,Kings XI Punjab,bat,Kings XI Punjab,Runs,15.0,15,0,CH Gayle,T20,20,6
1136577,2018,,2018-04-20,Pune,Maharashtra Cricket Association Stadium,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,field,Chennai Super Kings,Runs,64.0,64,0,SR Watson,T20,20,6
1136578,2018,,2018-04-21,Kolkata,Eden Gardens,Kolkata Knight Riders,Kings XI Punjab,Kolkata Knight Riders,Kings XI Punjab,Kings XI Punjab,field,Kings XI Punjab,Wickets,9.0,0,9,KL Rahul,T20,20,6
1136579,2018,,2018-04-21,Bengaluru,M.Chinnaswamy Stadium,Delhi Daredevils,Royal Challengers Bangalore,Delhi Daredevils,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Royal Challengers Bangalore,Wickets,6.0,0,6,AB de Villiers,T20,20,6
1136580,2018,,2018-04-22,Hyderabad,Rajiv Gandhi International Stadium,Chennai Super Kings,Sunrisers Hyderabad,Chennai Super Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Chennai Super Kings,Runs,4.0,4,0,AT Rayudu,T20,20,6
1136581,2018,,2018-04-22,Jaipur,Sawai Mansingh Stadium,Mumbai Indians,Rajasthan Royals,Mumbai Indians,Rajasthan Royals,Mumbai Indians,bat,Rajasthan Royals,Wickets,3.0,0,3,JC Archer,T20,20,6
1136582,2018,,2018-04-23,Delhi,Arun Jaitley Stadium,Kings XI Punjab,Delhi Daredevils,Kings XI Punjab,Delhi Daredevils,Delhi Daredevils,field,Kings XI Punjab,Runs,4.0,4,0,AS Rajpoot,T20,20,6
1136583,2018,,2018-04-24,Mumbai,Wankhede Stadium,Sunrisers Hyderabad,Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,Mumbai Indians,field,Sunrisers Hyderabad,Runs,31.0,31,0,Rashid Khan,T20,20,6
1136584,2018,,2018-04-25,Bengaluru,M.Chinnaswamy Stadium,Royal Challengers Bangalore,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,field,Chennai Super Kings,Wickets,5.0,0,5,MS Dhoni,T20,20,6
1136585,2018,,2018-04-26,Hyderabad,Rajiv Gandhi International Stadium,Sunrisers Hyderabad,Kings XI Punjab,Sunrisers Hyderabad,Kings XI Punjab,Kings XI Punjab,field,Sunrisers Hyderabad,Runs,13.0,13,0,AS Rajpoot,T20,20,6
1136586,2018,,2018-04-27,Delhi,Arun Jaitley Stadium,Delhi Daredevils,Kolkata Knight Riders,Delhi Daredevils,Kolkata Knight Riders,Kolkata Knight Riders,field,Delhi Daredevils,Runs,55.0,55,0,SS Iyer,T20,20,6
1136587,2018,,2018-04-28,Pune,Maharashtra Cricket Association Stadium,Chennai Super Kings,Mumbai Indians,Chennai Super Kings,Mumbai Indians,Mumbai Indians,field,Mumbai Indians,Wickets,8.0,0,8,RG Sharma,T20,20,6
1136588,2018,,2018-04-29,Jaipur,Sawai Mansingh Stadium,Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,bat,Sunrisers Hyderabad,Runs,11.0,11,0,KS Williamson,T20,20,6
1136589,2018,,2018-04-29,Bengaluru,M.Chinnaswamy Stadium,Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders,field,Kolkata Knight Riders,Wickets,6.0,0,6,CA Lynn,T20,20,6
1136590,2018,,2018-04-30,Pune,Maharashtra Cricket Association Stadium,Chennai Super Kings,Delhi Daredevils,Chennai Super Kings,Delhi Daredevils,Delhi Daredevils,field,Chennai Super Kings,Runs,13.0,13,0,SR Watson,T20,20,6
1136591,2018,,2018-05-01,Bengaluru,M.Chinnaswamy Stadium,Royal Challengers Bangalore,Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,field,Royal Challengers Bangalore,Runs,14.0,14,0,TG Southee,T20,20,6
1136592,2018,,2018-05-02,Delhi,Arun Jaitley Stadium,Delhi Daredevils,Rajasthan Royals,Delhi Daredevils,Rajasthan Royals,Rajasthan Royals,field,Delhi Daredevils,Runs,4.0,4,0,RR Pant,T20,20,6
1136593,2018,,2018-05-03,Kolkata,Eden Gardens,Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,field,Kolkata Knight Riders,Wickets,6.0,0,6,SP Narine,T20,20,6
1136594,2018,,2018-05-04,Indore,Holkar Cricket Stadium,Kings XI Punjab,Mumbai Indians,Kings XI Punjab,Mumbai Indians,Mumbai Indians,field,Mumbai Indians,Wickets,6.0,0,6,SA Yadav,T20,20,6
