batter,venue,runs,balls_faced,strike_rate
A Ashish Reddy,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,28,17,164.70588235294116
A Ashish Reddy,Eden Gardens,4,5,80.0
A Ashish Reddy,Feroz Shah Kotla,16,9,177.77777777777777
A Ashish Reddy,M Chinnaswamy Stadium,35,22,159.0909090909091
A Ashish Reddy,MA Chidambaram Stadium,39,19,205.26315789473685
A Ashish Reddy,Maharashtra Cricket Association Stadium,19,15,126.66666666666666
A Ashish Reddy,"Punjab Cricket Association Stadium, Mohali",22,8,275.0
A Ashish Reddy,Rajiv Gandhi International Stadium,93,80,116.25000000000001
A Ashish Reddy,Sawai Mansingh Stadium,14,11,127.27272727272727
A Ashish Reddy,Wankhede Stadium,10,10,100.0
A Badoni,Arun Jaitley Stadium,6,9,66.66666666666666
A Badoni,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",452,336,134.52380952380955
A Badoni,"Brabourne Stadium, Mumbai",19,15,126.66666666666666
A Badoni,"Dr DY Patil Sports Academy, Mumbai",42,29,144.82758620689654
A Badoni,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",4,5,80.0
A Badoni,Eden Gardens,108,84,128.57142857142858
A Badoni,"Himachal Pradesh Cricket Association Stadium, Dharamsala",74,45,164.44444444444443
A Badoni,M Chinnaswamy Stadium,68,56,121.42857142857142
A Badoni,MA Chidambaram Stadium,24,26,92.3076923076923
A Badoni,"Maharaja Yadavindra Singh International Cricket Stadium, New Chandigarh",35,22,159.0909090909091
A Badoni,"Maharashtra Cricket Association Stadium, Pune",27,35,77.14285714285715
A Badoni,"Narendra Modi Stadium, Ahmedabad",21,12,175.0
A Badoni,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",43,25,172.0
A Badoni,Rajiv Gandhi International Stadium,73,47,155.3191489361702
A Badoni,"Sawai Mansingh Stadium, Jaipur",52,47,110.63829787234043
A Badoni,Wankhede Stadium,130,92,141.30434782608697
A Chandila,M Chinnaswamy Stadium,4,6,66.66666666666666
A Chandila,Rajiv Gandhi International Stadium,0,1,0.0
A Chopra,Eden Gardens,17,26,65.38461538461539
A Chopra,Newlands,11,20,55.00000000000001
A Chopra,Rajiv Gandhi International Stadium,24,25,96.0
A Chopra,Wankhede Stadium,1,4,25.0
A Choudhary,M Chinnaswamy Stadium,19,18,105.55555555555556
A Choudhary,Rajiv Gandhi International Stadium,6,2,300.0
A Dananjaya,Wankhede Stadium,4,5,80.0
A Flintoff,Kingsmead,16,18,88.88888888888889
A Flintoff,Newlands,24,25,96.0
A Flintoff,St George's Park,22,14,157.14285714285714
A Kamboj,Arun Jaitley Stadium,5,3,166.66666666666669
A Kamboj,"Barsapara Cricket Stadium, Guwahati",7,10,70.0
A Kamboj,Eden Gardens,6,3,200.0
A Kamboj,M Chinnaswamy Stadium,19,13,146.15384615384613
A Kamboj,MA Chidambaram Stadium,5,9,55.55555555555556
A Kamboj,"Narendra Modi Stadium, Ahmedabad",19,8,237.5
A Kamboj,Rajiv Gandhi International Stadium,13,9,144.44444444444443
A Kumble,Dr DY Patil Sports Academy,1,3,33.33333333333333
A Kumble,Feroz Shah Kotla,1,1,100.0
A Kumble,Kingsmead,6,7,85.71428571428571
A Kumble,M Chinnaswamy Stadium,5,11,45.45454545454545
A Kumble,MA Chidambaram Stadium,2,1,200.0
A Kumble,New Wanderers Stadium,1,1,100.0
A Kumble,Newlands,1,1,100.0
A Kumble,"Punjab Cricket Association Stadium, Mohali",0,1,0.0
A Kumble,Sawai Mansingh Stadium,8,8,100.0
A Kumble,St George's Park,8,11,72.72727272727273
A Kumble,"Vidarbha Cricket Association Stadium, Jamtha",2,4,50.0
A Manohar,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",15,17,88.23529411764706
A Manohar,"Dr DY Patil Sports Academy, Mumbai",80,56,142.85714285714286
A Manohar,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",4,6,66.66666666666666
A Manohar,"Maharashtra Cricket Association Stadium, Pune",13,14,92.85714285714286
A Manohar,"Narendra Modi Stadium, Ahmedabad",117,92,127.17391304347827
A Manohar,Rajiv Gandhi International Stadium,45,44,102.27272727272727
A Manohar,"Sawai Mansingh Stadium, Jaipur",1,2,50.0
A Manohar,Wankhede Stadium,17,12,141.66666666666669
A Mhatre,Arun Jaitley Stadium,43,20,215.0
A Mhatre,"Barsapara Cricket Stadium, Guwahati",0,1,0.0
A Mhatre,Eden Gardens,0,2,0.0
A Mhatre,M Chinnaswamy Stadium,95,51,186.27450980392157
A Mhatre,MA Chidambaram Stadium,207,125,165.6
A Mhatre,"Narendra Modi Stadium, Ahmedabad",34,18,188.88888888888889
A Mhatre,Rajiv Gandhi International Stadium,30,16,187.5
A Mhatre,Wankhede Stadium,32,17,188.23529411764704
A Mishra,Arun Jaitley Stadium,7,11,63.63636363636363
A Mishra,Barabati Stadium,1,2,50.0
A Mishra,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",19,30,63.33333333333333
A Mishra,Brabourne Stadium,13,20,65.0
A Mishra,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,8,13,61.53846153846154
A Mishra,Eden Gardens,51,54,94.44444444444444
A Mishra,Feroz Shah Kotla,77,85,90.58823529411765
A Mishra,Green Park,8,2,400.0
A Mishra,Kingsmead,2,3,66.66666666666666
A Mishra,M Chinnaswamy Stadium,8,14,57.14285714285714
A Mishra,MA Chidambaram Stadium,29,42,69.04761904761905
A Mishra,Maharashtra Cricket Association Stadium,30,26,115.38461538461537
A Mishra,Nehru Stadium,0,1,0.0
A Mishra,New Wanderers Stadium,11,8,137.5
A Mishra,"Punjab Cricket Association IS Bindra Stadium, Mohali",4,11,36.36363636363637
A Mishra,Rajiv Gandhi International Stadium,50,46,108.69565217391303
A Mishra,"Sardar Patel Stadium, Motera",0,2,0.0
A Mishra,Sawai Mansingh Stadium,25,38,65.78947368421053
A Mishra,Sharjah Cricket Stadium,4,5,80.0
A Mishra,SuperSport Park,13,9,144.44444444444443
A Mishra,Wankhede Stadium,21,18,116.66666666666667
A Mithun,Feroz Shah Kotla,5,6,83.33333333333334
A Mithun,Himachal Pradesh Cricket Association Stadium,10,7,142.85714285714286
A Mithun,JSCA International Stadium Complex,2,2,100.0
