venue,matches,cities,total_innings,total_runs,average_score,average_wickets,highest_score,total_wickets,total_fours,total_sixes,batting_index,bowling_index,boundary_rate,six_per_inning,wickets_per_inning,chasing_win,average_first_innings,average_second_innings,chasing_score_gap
Arun Jaitley Stadium,44,Delhi,92,15105,164.18478260869566,5.6521739130434785,261,520,1345,764,80.59561558631624,3.4425686858656075,0.13962264150943396,8.304347826086957,5.6521739130434785,50.0,177.41,164.98,-12.430000000000007
Barabati Stadium,7,Cuttack,14,2195,156.78571428571428,5.714285714285714,221,80,215,68,76.96353436185133,3.6446469248291575,0.12892938496583142,4.857142857142857,5.714285714285714,42.857142857142854,162.29,151.29,-11.0
"Barsapara Cricket Stadium, Guwahati",8,Guwahati,16,2489,155.5625,6.3125,199,101,233,110,76.36307854137448,4.057854560064283,0.13780634793089594,6.875,6.3125,50.0,160.5,150.62,-9.879999999999995
"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",29,Lucknow,59,9248,156.74576271186442,5.88135593220339,224,347,831,399,76.94392278983526,3.7521626297577853,0.13300173010380623,6.762711864406779,5.88135593220339,55.172413793103445,166.55,157.61,-8.939999999999998
Brabourne Stadium,10,Mumbai,20,3263,163.15,6.0,203,120,327,105,80.08765778401123,3.677597303095311,0.1323935029114312,5.25,6.0,40.0,168.6,157.7,-10.900000000000006
"Brabourne Stadium, Mumbai",17,Mumbai,34,5497,161.6764705882353,6.205882352941177,202,211,548,228,79.36432637571158,3.838457340367473,0.1411679097689649,6.705882352941177,6.205882352941177,52.94117647058824,168.35,155.0,-13.349999999999994
Buffalo Park,3,East London,6,742,123.66666666666667,6.333333333333333,168,38,56,27,60.70593735390369,5.121293800539084,0.11185983827493262,4.5,6.333333333333333,33.33333333333333,135.33,112.0,-23.330000000000013
De Beers Diamond Oval,3,Kimberley,6,858,143.0,6.5,164,39,62,34,70.19635343618513,4.545454545454546,0.11188811188811189,5.666666666666667,6.5,66.66666666666666,152.67,133.33,-19.339999999999975
Dr DY Patil Sports Academy,17,Mumbai,34,4490,132.05882352941177,6.352941176470588,180,216,390,173,64.82550944641531,4.810690423162582,0.12538975501113586,5.088235294117647,6.352941176470588,58.82352941176471,136.76,127.35,-9.409999999999997
"Dr DY Patil Sports Academy, Mumbai",20,Mumbai,40,6199,154.975,6.35,208,254,522,285,76.07468443197756,4.097435070172609,0.13018228746572028,7.125,6.35,50.0,161.15,148.8,-12.349999999999994
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,13,Visakhapatnam,26,3585,137.8846153846154,6.269230769230769,199,163,291,154,67.68529506958679,4.546722454672246,0.12412831241283125,5.923076923076923,6.269230769230769,53.84615384615385,151.0,124.77,-26.230000000000004
"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",4,Visakhapatnam,8,1453,181.625,7.25,250,58,123,90,89.15673211781206,3.9917412250516175,0.14659325533379217,11.25,7.25,50.0,196.0,167.25,-28.75
